paper_id,title,year,authors,journal,publication_type,doi,abstract,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,countries_mentioned,geographic_level,activity_type,emission_type,method,analysis_type,hotspots,data_sources,relevance,notes,sector_tag
209,Co-benefits of the EAT-Lancet diet for environmental protection in the framework of the Spanish dietary pattern,2022,"Cristina Cambeses-Franco
Gumersindo Feijoo
María Teresa Moreira
Sara González-García","Science of The Total Environment
Volume 836,",Scientific journal,10.1016/j.scitotenv.2022.155683,"he immediate need to build resilient food systems with lower greenhouse gas (GHG) emissions and protection of water resources is a global challenge. To address this, the EAT-Lancet Commission described the global reference diet with principles of nutritional quality and environmental sustainability. With this in mind, the carbon and water footprints of the current Spanish dietary pattern have been compared with the EAT-Lancet global dietary recommendations, taking into account deviations in food intake. To provide additional context, differences between the average Spanish dietary pattern and dietary guidelines applied in other countries in Europe (Italy, the Netherlands and the Mediterranean region) and America have also been analyzed and discussed from a sustainability approach.
We found that the EAT-Lancet diet requires less water resources (3056 L·person−1·day−1) and lower level of GHG emissions (2.13 kgCO2eq·person−1·day−1) in comparison with the Spanish dietary pattern (3732 L·person−1·day−1 and 3.62 kgCO2eq·person−1·day−1, respectively). Starch-based products and oils and fats were identified as largest contributors to both environmental indicators in the EAT-Lancet diet. On the other hand, meat and dairy were the environmental hotspots in the Spanish dietary pattern. Comparison with other food-based dietary patterns also raises environmental concerns about the high meat consumption in Spain.
Overall, this analysis suggests that reducing the consumption of beef meat and dairy to a level in line with the global environmental targets set by the EAT-Lancet Commission would ensure a shift in Spanish dietary habits towards more environmentally sustainable food consumption patterns.",Water footprint,Carbon footprint,Sustainable healthy diet,Spanish eating habits,Dietary recommendations,,,,,,,,,,,AGRI_EU
210,How green technology innovation affects carbon emission efficiency: evidence from developed countries proposing carbon neutrality targets,2022,"Feng Dong, Jiao Zhu, Yangfan Li, Yuhuan Chen, Yujin Gao, Mengyue Hu, Chang Qin & Jiaojiao Sun",Environmental Science and Pollution Research,Scientific journal,10.1007/s11356-022-18581-9,"become a hot topic as part of the international community’s drive to take action to mitigate climate change. Carbon emission
efficiency is an important indicator that can be used to measure progress toward carbon emission reduction targets. The
relationship between green technology innovation and carbon emission efficiency has not been adequately studied, and the
transmission mechanism is not yet clear. Based on the above research gaps, taking 32 developed countries that have proposed
carbon neutral targets as research samples, this paper used spatial econometric models to explore the impact of green
technology innovation on carbon emission efficiency and adopted spatial mediation model and spatial moderation model to
analyze the transmission effects of economic development, urbanization, and financial development on environment-related
green technology and carbon emission efficiency. This paper aimed to provide a policy basis for developed countries to
mitigate carbon emissions and achieve carbon neutrality goals as soon as possible. The following results were obtained:
(1) Luxembourg, Norway, and Switzerland were found to be efficient in terms of carbon emissions, while most developed
countries were in an inefficient state. (2) Environment-related green technology innovation significantly improved carbon
emission efficiency. (3) Economic development and urbanization had a mediating role on green technology innovation and
carbon emission efficiency. In other words, green technology innovation could have an indirect impact on carbon emission
efficiency by influencing economic development and urbanization. (4) Financial development could positively moderate the
sensitivity of carbon emission efficiency to green technology innovation. Improving the level of green technology innovation
is one way to improve carbon emission efficiency, and the mediating effect of economic development and urbanization can
be used as a focus point to improve carbon emission efficiency. The pressure of carbon emission reduction can be moderated
by finance development. The results of this study provide theoretical support that will assist developed countries in achieving
their carbon neutrality targets.",Carbon neutrality,Carbon emission efficiency,Green technology innovation,"Spatial mediation model ·
",Spatial moderation model,,,,,,,,,,,AGRI_EU
211,A bibliometric analysis of the water-energy-food nexus based on the SCIE and SSCI database of the Web of Science,2021,"Jing-Li Fan, Qian Wang, Xian Zhang",Mitigation and Adaptation Strategies for Global Change,Scientific journal,10.1007/s11027-021-09938-5,"In the context of climate change mitigation and adaptation, the concept of the water-energy-food nexus (WEF nexus) has resulted in an increased focus on the long-neglected potential trade-offs between the water, energy, and food sector. In this study, we obtained 3077 publications from the Science Citation Index Expanded (SCIE) and the Social Sciences Citation Index (SSCI) in the Web of Science. A bibliometric method was used to characterize the publications, the participating countries, and the research trends in the field of theWEF nexus. The results show
(i) the number of scientific publications increased exponentially from 2011 to June 2019, with an average annual growth rate of 27.87%. (ii) The Journal of Geophysical Research: Atmospheres had the most publications related toWEF nexus research. (iii) Environmental Sciences Ecology was the subject category with the most publications. (iv)WEF nexus research was led by the USA, which produced 40.14% of the publications in this field, and five of the ten most influential institutions are American institutions. (v) China ranked in second place regarding publication volume and exceeded theUKin 2016 in annual publications. The Chinese Academy of Sciences was the most productive research institution. (vi) Academic collaboration between countries was widespread in theWEF nexus field; the top 10 most productive countries all had high proportions of collaborative publications (> 40%), and Austria had the highest percentage (91.49%). (vi) Co-word analysis indicated that the term map had three clusters in 1988–2011 focusing on biological production, climate and meteorology, and land surface research. In 2012–2019, the term map also had three clusters, including experimental research on recyclables, resource management, and land-atmosphere interactions. Frequency analysis of the keywords in different countries showed different research emphases in the top 10 most productive countries. The analyses of frequently used keywords also revealed the research hotspots and trends. “Climate change” was the second most frequently used keyword in these countries. The interpretation of climate change mitigation and adoption strategies from theWEF nexus perspective is an important research direction.",Water-energy-food nexus,Bibliometric analysis,International collaboration,,,,,,,,,,,,,AGRI_EU
212,EFFECT OF CROP ROTATION ON NITROGEN USE EFFICIENCY-CASE STUDY OF LATVIA,2022,"Dace Piliksere, Alberts Auzins, Aivars Aboltins",ENGINEERING FOR RURAL DEVELOPMENT,Scientific journal,10.22616/ERDev.2022.21.TF131,"Nitrogen losses from crop production have several negative effects on environment and human health: nitrogen emissions in form of nitrous oxide, which is one of the greenhouse gases (GHG), contribute to climate warming that affects biodiversity in different ecosystems; nitrogen leaching contaminates above- and belowground
waters causing environmental pollution/eutrophication and affecting drinking water quality. The Platform on Sustainable Finance has proposed nitrogen use efficiency (NUE) as an important criterion to assess the environmental sustainability of crop production in the framework of the EU Taxonomy. Moreover, the Platform
has proposed a minimum NUE 70% for crop production. As there is still a lack of knowledge about NUE in crop production in Latvia, especially in conventional and integrated crop production, the aim of the study was to examine NUE for most frequent crop rotations in conventional and integrated crop production in Latvia. The most frequent (typical) crop rotations were identified according to the crop fields’ survey (period 2018-2021) as well as the spatial analysis of arable land in Latvia. The empirical data derived from the crop fields’ survey have been used to assess NUE. The crop fields’ survey implies that the majority of the fields were managed as two-crop and three-crop rotations; however, some farmers practised the wheat monoculture. The results of this study suggest that NUE is quite low for practised crop rotations in conventional and integrated farming in Latvia and that ensuring minimum NUE at least 70% could be challenging",: nitrogen use efficiency,nitrogen balance,", crop rotation",GHG emissions,,,,,,,,,,,,AGRI_EU
213,Emission intensities of the food production system in the European Union countries,2022,"Bartłomiej Bajan, Joanna Łukasiewicz, 
Aldona Mrówczyńska-Kamińska, Lukáš Čechura ","Journal of Cleaner Production
Volume 363,",Scientific journal,10.1016/j.jclepro.2022.132298,"This article aimed to calculate and evaluate comparable environmental intensity indicators in the food production systems of European Union (EU) countries. The study uses the latest release of uniform input-output tables and greenhouse gas emission accounts for EU countries. The amount of greenhouse gas emissions (GHG) per unit of food production system Gross Domestic Product (GDP) was used to measure environmental intensity from 2010 to 2017. The main contributions of this study consist of calculating fully comparable emission intensity indicators of the food production system for all EU countries, estimating the emissions of the four primary sources in food production systems (carbon dioxide, methane, nitrous oxide, and hydrofluorocarbons), and evaluating the partial results of emission intensities at particular stages of food production. The results show that the total amount of GHG emissions from the food production system in the EU-28 countries decreased in the analyzed period. However, the share of the food production system in total GHG emissions increased. The calculations indicate that, on average, the EU-28 countries reduced the emissions intensity in food production systems. The intensities between countries were varied and independent of economic development, while in each country, the highest emission intensity was observed at the agriculture production stage. For this reason, the primary recommendation for EU decision-makers is to continue supporting agricultural production in improving emission intensity.",Food production,Emission intensity,GHG emissions,Intensity hotspots,"Input-output analysis, Top-down approach",,,,,,,,,,,AGRI_EU
214,Estimating greenhouse gas emissions from direct land use change due to crop production in multiple countries,2021,"Wan Yee Lam, Julia Chatterton, Sarah Sim, Michal Kulak, Angelica Mendoza Beltran, Mark A.J. Huijbregts","Science of The Total Environment
Volume 755, Part 2, ",Scientific journal,10.1016/j.scitotenv.2020.143338,"Greenhouse gas (GHG) emissions from direct land use change (LUC) in GHG footprint studies of crops are often estimated using national land use change statistics, as in many cases the exact location of crop cultivation and land use history is unknown. As such, these studies neglect spatial variability in land use change (amount and configuration) at the sub-national level as well as spatial variability in natural carbon stocks. For this reason, a spatial approach that enables consistent implementation of LUC emissions of crop production at different locations is developed and applied in this study. The dataset of crop production covers 69 crops cultivated on 1885 farms in 33 countries, spanning North and South America, Asia, Australia and Oceania, Europe and Africa, in the year 2014. Of the 1885 farms, 33% (619 farms) were identified to have LUC emissions when estimated at the local scale. LUC emissions of farms, derived using local scale location information, were found to have little correlation with those estimated at coarser spatial scales (such as the province or country level) using the spatial approach in this study or estimated using accounting approaches based on national statistics. Analysis at coarser spatial scales typically overestimated the LUC emissions of crops, as LUC in other regions can heavily influence these estimates. Therefore, it is concluded that local scale LUC emissions better represent local LUC dynamics, thereby improving the reliability of GHG footprint studies.",Agricultural life cycle assessment,Spatial assessment,Life cycle greenhouse gas footprinting,Land cover change,,,,,,,,,,,,AGRI_EU
215,Geospatial analysis and environmental impact assessment of a holistic and interdisciplinary approach to the biogas sector,2021,"by Robert Bedoić , Goran Smoljanić ,Tomislav Pukšec, Lidija Čuček,Davor Ljubas and Neven Duić 1",Energies (MDPI),Scientific journal,10.3390/en14175374,"Crop-based biogas energy production, in combination with electricity generation under subsidy schemes, is no longer considered a favourable business model for biogas plants. Switching to low-cost or gate fee feedstocks and utilising biogas via alternative pathways could contribute to making existing plants fit for future operations and could open up new space for further expansion of the biogas sector. The aim of this study was to combine a holistic and interdisciplinary approach for both the biogas production side and the utilisation side to evaluate the impact of integrating the biogas sector with waste management systems and energy systems operating with a high share of renewable energy sources. The geospatial availability of residue materials from agriculture, industry and municipalities was assessed using QGIS software for the case of Northern Croatia with the goal of replacing maize silage in the operation of existing biogas plants. Furthermore, the analysis included positioning new biogas plants, which would produce renewable gas. The overall approach was evaluated through life cycle assessment using SimaPro software to quantify the environmental benefits and identify the bottlenecks of the implemented actions. The results showed that the given feedstocks could replace 212 GWh of biogas from maize silage in the relevant region and create an additional 191 GWh of biomethane in new plants. The LCA revealed that the proposed measures would contribute to the decarbonisation of natural gas by creating environmental benefits that are 36 times greater compared to a business-as-usual concept. The presented approach could be of interest to stakeholders in the biogas sector anywhere in the world to encourage further integration of biogas technologies into energy and environmental transitions.",biogas,feedstocks,energy potential,GIS,future energy systems; LCA,,,,,,,,,,,AGRI_EU
216,A modelling platform for climate change impact on local and regional crop water requirements,2021,"Sara Masia, Antonio Trabucco, Donatella Spano, Richard L. Snyder, Janez Sušnik, 
Serena Marras","Agricultural Water Management
Volume 255",Scientific journal,10.1016/j.agwat.2021.107005,"The impact of climate change on agriculture is projected to be more severe over the coming years due to changing intensity, magnitude and distribution of precipitation, soil water content, atmospheric water vapor, higher temperatures, and thus larger evapotranspiration. This will have significant consequences for irrigation requirements, especially in semi-arid area of Southern Europe, which is recognised as a climate change hotspot. Since the total water use to satisfy agricultural demand is currently about 25% of total water withdrawal in Europe and up to 80% in some Mediterranean countries, improvements in water management are needed to cope with worsening climate conditions. Although several crop models (e.g. EPIC, WOFOST, CERES-Maize) and hydrological models (e.g., DREAM, SWAT, HYDRUS) have been developed, the call for developing models able to couple crop growth, soil water balance, and irrigation practices to assess agricultural water management both at local and regional scale is increasing. In this work, the Simulation of Evapotranspiration of Applied Water (SIMETAW#) model is implemented in R programming language with two new versions able to estimate crop water consumption, irrigation demand and scheduling at local (SIMETAW_R) and regional scale (SIMETAW_GIS platform) using extensive climate and environmental geospatial datasets. SIMETAW_R was validated in ten experimental sites, and SIMETAW_GIS performance in Mediterranean countries was assessed by estimating the impact of climate change on maize, wheat, and wine grape water requirements in the past (1976–2005) and future climate conditions (2036–2065), under RCP4.5 and RCP8.5 scenarios. Results show that in Mediterranean countries, maize, wheat, and grape production will require on average about 13%, 16%, and 10% more water, respectively, under future climate. This represents a considerable challenge for water resources management, especially with demand increasing in other sectors. The tool showed great potential in estimating climate change impact on crop water consumption and irrigation requirements, both at local and regional scale, and offers new analytical skills for water resources management planners for improved decision-making.",Crop water requirements,Evapotranspiration,SIMETAW model,Spatial modeling,"Water scarcity, RCPs",,,,,,,,,,,AGRI_EU
217,A taste of the new ReCiPe for life cycle assessment: consequences of the updated impact assessment method on food product LCAs,2020,"Erik Dekker, Michiel C. Zijp, Mirjam E. van de Kamp, Elisabeth H. M. Temme & Rosalie van Zelm",The International Journal of Life Cycle Assessment,Scientific journal,10.1007/s11367-019-01653-3,"Recently, an update of the Life Cycle Impact Assessment (LCIA) method ReCiPe was released: ReCiPe 2016. The aim
of this study was to analyse the effect of using this update instead of the previous version: ReCiPe 2008. Do the absolute
outcomes change significantly and if so, does this lead to different conclusions and result-based recommendations?
Methods Life cycle assessments (LCAs) were conducted for 152 foods for which cradle-to-plate inventories were available and that
together are estimated to account for 80% of the total greenhouse gas emissions, land use and fossil resource depletion of food
consumption in the Netherlands. The LCIA was performed on midpoint and endpoint level, with both ReCiPe 2008 and 2016, and
using the three perspectives provided by ReCiPe. Both the uses of the global-average characterisation factors (CFs) and the Dutchspecific
CFs were explored.
Results and discussion Results showed a strong correlation between LCAs performed with ReCiPe 2008 and with 2016 on
midpoint and endpoint level, with Spearman’s rank correlation between 0.85 and 0.99. Ranking of foods related to their overall
environmental impact did not differ significantly between methods when using the default hierarchist perspective. Differences on
endpoint level were largest when using the individualist perspective. The predicted average absolute impact of the foods studied
did change significantly when using the new ReCiPe, regardless of which perspective was used: a larger impact was found for
climate change, freshwater eutrophication and water consumption and a lower impact for acidification and land use. The use of
Dutch CFs in ReCiPe 2016 leads to significant differences in LCA results compared with the use of the global-average CFs.
When looking at the average Dutch diet, ReCiPe 2016 predicted a larger impact from greenhouse gas emissions and freshwater
eutrophication, and a lower impact from acidification and land use than ReCiPe 2008.",Dutch food consumption,Cradle-to-grave,Characterisation,Midpoint,"ndpoint . Regionalisation . Life cycle
impact assessment",,,,,,,,,,,AGRI_EU
218,Spatial analysis of organic soil utilization and quality in Latvia,2019,"Nipers, A.; Pilvere, I.; Sisenis, L",Environmental Economics,Scientific journal,10.5593/sgem2019/5.3/S21.086,"Soils are the foundation of food production and food security. Many agricultural practices can potentially mitigate greenhouse gas emissions (GHG). Managed organic soils are the largest sources of GHG emissions from agriculture. In Latvia, organic soils have been little researched to date. Therefore, the overall aim of the present research is to identify the geographical locations, quality and uses of organic soils in Latvia. To achieve the aim, the following specific research tasks are defined: 1) to analyse the geographical locations of organic soils in Latvia; 2) to identify the quality and uses of organic soils in the agricultural area in Latvia. The research, performing a spatial analysis of the data of digitalised maps of various institutions, found that in Latvia the area with hydromorphic soils accounted for 7% of the total utilised agricultural area (UAA), and the hydromorphic soils were located mainly in the eastern and northern part of the country. A considerable area having hydromorphic soils was located in utilised agricultural lands with a lower qualitative estimate than the average in Latvia. The key uses of the hydromorphic soil area were meadows and pastures, and a relatively high proportion of the area with such soils was located in the unmanaged area and the managed uncropped area. The proportion of the hydromorphic soil area for intensive land uses was low.",organic soils,locations,utilization,quality,,,,,,,,,,,,AGRI_EU
219,Research perspectives on paddy field systems: ecological functions and environmental impacts,2020,"Yanhua Zhuang, Hongbin Liub, Liang Zhang",International Journal of Agricultural Sustainability,Scientific journal,10.1080/14735903.2020.1793652,"Paddy is an important artificial wetland ecosystem related to sustainable development of agriculture and environment. According to 12,276 paddy-related publications in SCIE database during 1997–2016, this study revealed the global paddy research trends. The paddy research experienced an exponential growth. This research had remarkable regional characteristic and was mainly distributed across Asia, Western and Central Europe and Northern America. The rice production and accompanied environmental issues were main driving factor to promote paddy research. A group of developing countries led by China and India played important role in global paddy research. China was the largest contributor with rapid development after 2009, followed by Japan, the USA and India. The focus of paddy research has extended from rice yield to food security and environmental issues. Paddy wetland ecosystem and biodiversity, greenhouse gas emission and climate change, heavy metal pollution and food security, nutrient loss and water quality were research hotspots; the increasing use of RS, GIS and models promoted the extension of paddy research from field- to regional and global scale; field management measures, such as water management and biochar, were applied to improve environment issues. Ecological function and environmental impacts will be the primary targets of future paddy research.",Paddy field,wetland,greenhouse gases emission,food security,non-point source pollution,,,,,,,,,,,AGRI_EU
220,The water footprint of European agricultural imports: Hotspots in the context ofwater scarcity,2019,"Iulia Dolganova, Natalia Mikosch, Markus Berger, Montserrat Núñez, Andrea Müller-Frank and Matthias Finkbeiner
",Resources (MDPI),Scientific journal,10.3390/resources8030141,"This study investigates the Water Footprint (WF) resulting from the agricultural imports of the European Union (EU-28). Import trade statistics were compiled and linked with crop- and country-specific water consumption data and water scarcity factors. Within the study, the virtual water imports of 104 agricultural commodities for the baseline year 2015 were assessed and product and country hotspots were evaluated. It was shown that (a) Europe imported 100 million tons of agricultural goods and 11 km3 of associated virtual irrigation water; (b) the highest impacts of water consumption do not necessarily result from high import amounts, but from water-intensive goods produced in water scarce countries; (c) the largest external EU-28 water footprint occurred due to the product categories cotton, nuts and rice; and (d) the highest share of the EU external water footprint took place in the United States (US), Pakistan, Turkey, Egypt and India.",water footprint,water scarcity,virtual water trade,agricultural water use,agricultural imports,,,,,,,,,,,AGRI_EU
221,Environmental assessment of food and beverage under a NEXUS Water-Energy-Climate approach: Application to the spirit drinks,2020,"R. Leivas, J. Laso, R. Abejón, M. Margallo, R. Aldaco","Science of The Total Environment
Volume 720",Scientific journal,10.1016/j.scitotenv.2020.137576,"The energy-water nexus is a concept widely established but rarely applied to product and, in particular, to food and beverage products, which have a great influence on greenhouse gases emissions. The proposed method considers the main nexus aspects in addition to other relevant aspects such as climate change, which is deeply linked with energy and water systems, and assessing process as well as product. In this framework, this study develops an integrated index (IWECN) that combines life cycle assessment (LCA) and linear programming (LP) to assess energetic, water and climate systems, enabling the identification of those products with minors energetic and water intensity and climate change effects and helping to the decision-making process and to the development of eco-innovation measures. In this case, the product assessed was one bottle (70 cl) of gin and two main hotspots were identified: the production of the glass bottle and the energy requirements of the distillation stage. Based on that, several eco-innovation strategies were proposed: the use of photovoltaic solar energy as energy source and the substitution of the glass bottle by a plastic one and by a tetra brick. The nexus results indicated that the use of solar photovoltaic energy and plastic as bottle material was the best alternative decreasing 58% the IWECN value of the production of one bottle of gin. The sensitivity analysis presented a strong preference for photovoltaic solar energy in comparison with electric power and for the reduction of the glass bottle weight or its substitution by a plastic bottle. The use of the IWECN index is extendable to any product with the aim of facilitating the decision-making process in the development of more sustainable products to introduce them in new green markets.",Eco-innovation,Life cycle thinking,Linear programming,Nexus approach,Spirits beverages,,,,,,,,,,,AGRI_EU
222,Technical potential and geographic distribution of agricultural residues co-products and by-products in the European Union,2019,"Robert Bedoić, Boris Ćosić, Neven Duić","Science of The Total Environment
Volume 686",Scientific journal,10.1016/j.scitotenv.2019.05.219,"Value waste chain generates a significant amount of different agricultural wastes, co-products and by-products (AWCB) that occur during three major stages of a complex path, from farm to fork. This paper presents stages where and how waste occurs along the path from the ground to the table for a period of 7 years, from 2010 to 2016 in the 28 member countries of the European Union (EU28). Considering the specific conditions of the EU28 community, four different sectors with 26 commodities and waste types that occur in those sectors were analysed: 5 commodities in the Fruit sector, 10 commodities in the Vegetable sector, 7 commodities in the Cereal sector and 4 commodities in the Animal sector. The analysis consists of three stages of waste appearance: production (harvesting, farming), processing and consumption (raw, uncooked food). Production data were taken from Eurostat, import and export data were taken from FAOSTAT. Methodology and calculations consist of relations between specific values. Those specific values for every commodity are the production data, import and export data, and consumption of raw food by the inhabitants of a country. Total consumption of raw food by inhabitant is calculated from the specific consumption per capita and population. The results of the study showed that from 2010 to 2016 in the EU28 the estimated quantity of the AWCB appeared to be around 18.4 billion tonnes, with the sector percentages as follows: Animal ~31%, Vegetable ~44%, Cereal ~22% and Fruit ~2%. In the Animal sector, the most dominant were developed countries, with high population density and high level of industrialisation. The Cereal, Fruit and Vegetable sectors have shown to generate higher AWCB quantities in the countries with more available land area and appropriate climate conditions.",EU28,Agricultural co- and by- products,Resource availability,AgroCycle,,,,,,,,,,,,AGRI_EU
223,Predicting the potential global geographical distribution of Two Icerya species under climate change,2020,"Yang Liu and, Juan Shi",Forests (MDPI),Scientific journal,10.3390/F11060684,"Climate change is predicted to alter the geographic distribution of a wide variety of taxa, including insects. Icerya aegyptiaca (Douglas) and I. purchasi Maskell are two polyphagous and invasive pests in the genus Icerya Signoret (Hemiptera: Monophlebidae) and cause serious damage to many landscape and economic trees. However, the global habitats suitable for these two Icerya species are unclear. The purpose of this study is to determine the potentially suitable habitats of these two species, then to provide scientific management strategies. Using MaxEnt software, the potential risk maps of I. aegyptiaca and I. purchasi were created based on their occurrence data under different climatic conditions and topology factors. The results suggested that under current climate conditions, the potentially habitable area of I. aegyptiaca would be much larger than the current distribution and there would be small changes for I. purchasi. In the future climate change scenarios, the suitable habitats of these two insect species will display an increasing trend. Africa, South America and Asia would be more suitable for I. aegyptiaca. South America, Asia and Europe would be more suitable for I. purchasi. Moreover, most of the highly habitat suitability areas of I. aegyptiaca will become concentrated in Southern Asia. The results also suggested that “min temperature of coldest month” was the most important environmental factor affecting the prediction models of these two insects. This research provides a theoretical reference framework for developing policies to manage and control these two invasive pests of the genus Icerya.",Icerya aegyptiaca,Icerya purchasi,MaxEnt ecological niche models,geographical information system;,geographical distribution,,,,,,,,,,,AGRI_EU
224,Determinants of the global and regional CO2 emissions: What causes what and where?,2019,"Kangyin Dong, Xiucheng Dong, Cong Dong",Taylor and Francis Online,Scientific journal,10.1080/00036846.2019.1606410,"Using the Stochastic Impacts by Regression on Population, Affluence, and Technology (STIRPAT) model and an unbalanced panel dataset of 128 countries covering 1990–2014, this study aims to examine the key impact factors (KIFs) of the global and regional carbon dioxide (CO2) emissions and analyse the effectiveness of non-renewable and renewable energies. Given the potential cross-sectional dependence and slope heterogeneity, a series of econometric techniques allowing for cross-sectional dependence and slope heterogeneity is applied. The overall estimations imply that the KIFs at the global level are economic growth, followed by population size, non-renewable energy, and energy intensity in order of their impacts on CO2 emissions; conversely, the KIFs at the regional level vary across different regions and estimators. The results also suggest that renewable energy can lead to a decline in CO2 emissions at the global level. At the regional level, only for two regions (i.e., S. & Cent. America and Europe & Eurasia) renewable energy has a significant and negative effect on CO2 emissions, which may be affected by the share of renewable energy consumption in the primary energy mix. Finally, the results indicate varied causality relationships among the variables across regions.",CO2 emissions,Non-renewable and renewable energies,KIFs,STIRPAT model,Global and regional analysis,,,,,,,,,,,AGRI_EU
225,Spatial and life cycle assessment of bioenergy-driven land-use changes in Ireland,2019,"Robbie Clarke, Amanda Sosa, Fionnuala Murphy","Science of The Total Environment
Volume 664",Scientific journal,10.1016/j.scitotenv.2019.01.397,"Bioenergy crops are forecast to play a significant role if Ireland is to reach the 2020 and beyond targets set by the European Union's Renewable Energy Directive (RED). The aim of this study is to evaluate the environmental impacts associated with the cultivation of bioenergy crops in Ireland including land-use change (LUC) emissions by using geographical information systems (GIS) and Life Cycle Assessment (LCA). In this study, GIS is used to identify, and measure LUC changes associated with cultivation of Miscanthus and Short Rotation Coppice (SRC) willow. An LCA study was carried out to estimate the greenhouse gas (GHG) emissions from the LUC caused by the cultivation of bioenergy crops. The results find that miscanthus caused 86% of all LUC with SRC Willow accounting for 14%. The LCA results identify two major processes that contribute to total GHG emissions; field operations and loss of soil organic carbon (SOC) stocks. Land preparation, harvesting and the production of synthetic fertiliser are found to be the most significant contributors to field emissions. SOC emission for the conversion of pasture to SRC willow accounts for a large proportion of the overall GHG emissions. Conversion of arable land to miscanthus and SRC willow both cause a net reduction of GHG emissions. Sensitivity analysis on the type of fertilisers used and the inclusion of indirect land-use changes (iLUC), highlight the impacts that these have on the overall system performance. The replacement of synthetic fertiliser with biogenic fertiliser reduced overall GHG emissions. The inclusion of general iLUC data results in a large increase in total GHG emissions because of displaced food crops that must be grown elsewhere. The study shows that conversion of arable to miscanthus and SRC willow is preferable when cultivating bioenergy crops while conversion of pasture to SRC willow should be avoided.",GIS,LCA,Greenhouse gas emissions,,"Bioenergy policy, Sustainability",,,,,,,,,,,AGRI_EU
226,Livestock exclusion from watercourses: Policy effectiveness and implications,2020,"Paul Kilgarriff, Mary Ryan, Cathal O’Donoghue,
Stuart Green, Daire Ó hUallacháin","Environmental Science & Policy
Volume 106,",Scientific journal,10.1016/j.envsci.2020.01.013,"The deterioration of water quality in Ireland over the past thirty years and the nutrient losses from agriculture are of particular concern to policy makers. Agri-environmental schemes (AES) are designed to improve the environment and water quality. One of the more common AES measures is the exclusion of cattle from watercourses. Cattle exclusion provides a number of benefits such as reduction in nitrogen, phosphorus and sediment run-off, riverbank stability and improved vegetation cover and biodiversity. Using GIS methods a new national farm boundary spatial database SLIDE (Spatial Land Identification Database for Éire) is created utilising national administrative data and a spatial data storage model. This is the first examination of cattle exclusion and its cost effectiveness at the individual farm level across a national population of farms. Benefits are measured in the form of reduced in-stream faecal deposits. The spatial distribution of cost-effectiveness at the sub-catchment level highlights the differences between areas in terms of costs, benefits and extent. A cluster analysis is used to aggregate results. This information is utilised to undertake an ex-ante examination of the implications of a national policy to restrict cattle access to waterbodies for specific categories of farmers, under the EU Nitrates Directive. The analysis of the clusters show that due to the reduction of faecal deposition in watercourses, fencing on medium and high intensity farms is ∼20 % more cost effective relative to farms with lower livestock densities. This study makes an important contribution to the literature in broadening our understanding of the impacts of policy decision making at the individual farm level and also the costs and scale of AES measures at a national level.",Environment,Agriculture,Spatial analysis,Policy analysis,Sustainability,,,,,,,,,,,AGRI_EU
227,Mine reclamation planning and management: Integrating natural habitats into post-mining land use,2020,"Markéta Hendrychová
Kamila Svobodova
Martin Kabrna ","Resources Policy
Volume 69,",Scientific journal,10.1016/j.resourpol.2020.101882,"The reclamation of mined land in the Czech Republic has been focused on preparing the land for final use for productive purposes. The current national regulatory framework does not consider non-productive habitats as a legal type of post-mining land use. In the study presented here, we mapped, categorized, and analyzed non-productive post-mining habitats and defined appropriate management measures applicable under the present legal framework. Thirty different types of non-productive and productive post-mining habitats were distinguished in the study area of the North Bohemian Brown Coal Basin. Spatial and on-site analyses were conducted to identify their landscape and ecological functions, using measures such as the average area, the perimeter, and the relative length of the ecotones. The results showed that non-productive habitats accounted for 9.9% of the study area and that the non-productive habitats were significantly smaller than the productive habitats. There was an average area of 1 ha for non-productive habitats and an average area of 4 ha for productive habitats. In hydric reclamation, we identified more than 96% of the habitats as non-productive. However, only 6.7% of forest reclamation land, 4.4% of ‘other’ reclamation land, and 2.6% of agricultural reclamation land have been officially classified as non-productive habitat. Supported by a case study and our literature review, we have developed a typology of non-productive post-mining habitats. The typology systematizes non-productive habitats and makes clear recommendations for their establishment and management measures. The typology can be communicated to a multi-stakeholder audience to increase the knowledge baseline for incorporating non-productive habitats into post-mining land use.",Non-productive habitat,Mine closure,Natural restoration,Regulatory framework,Czech Republic,,,,,,,,,,,AGRI_EU
228,A decision analytic framework and exploratory statistical case study analysis of grass growth in Northern Ireland,2020,"McHugh, O., Browne, F., Liu, J., & Jordan, P",Journal of Advances in Information Technology,Scientific journal,10.12720/jait.11.1.15-20,"Sustainable land management, with pressures
from climate change, is a highly multidisciplinary research
field. There are challenges to exploit an abundance of data
and apply data-processing technologies to integrate
environmental, economic, and social considerations and
manage uncertainties originating from imperfect data
quality. Motivated by these challenges, the present work
proposes a multi-layered mapping methodological
framework to bridge or reduce the problems identified by
developing a transparent and explainable decision support
system as a precision agriculture tool. This should be
designed both for farmers and agriculture decision makers,
and integrate soft (e.g., legislation, policy, regulation and
experience) and hard data (measured data), along with
geographical information that presents key information in
the form of spatial mapping, information mapping, and
causal structure mapping. Presented is a preliminary
exploratory statistical case study analysis on grass growth
data in order to examine patterns and determine which
factors have the greatest influence on grass growth in
Northern Ireland",sustainable land management,climate change,decision support system,uncertainty,"exploratory statistical
analysis",,,,,,,,,,,AGRI_EU
